site	label	named_by_remedy	n_s	n_r	seed	trigger	reached	remedy	outcome	remedy_usable	detail	generator	boot_samples	conf_level	r_version	glmmtmb_version	platform
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	15	4	1	MSE=0 exact	TRUE	npbootstrap	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	15	4	1	MSE=0 exact	TRUE	bootstrap	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	TRUE	15	4	1	SSA=0 exact	TRUE	montecarlo	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	15	4	1	SSA=0 exact	TRUE	searle	unusable interval	FALSE	-0.3333,-Inf,-0.3333,-Inf	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	15	4	1	SSA=0 exact	TRUE	burch	raw error	FALSE	unclassed	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	15	4	1	SSA=0 exact	TRUE	npbootstrap	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	15	4	1	SSA=0 exact	TRUE	bootstrap	usable interval	TRUE	1.1e-09,4.402e-09,0.2699,0.5957	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	TRUE	15	4	1	MSE=0 near	TRUE	montecarlo	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	15	4	1	MSE=0 near	TRUE	searle	unusable interval	FALSE	1,1,1,1	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	15	4	1	MSE=0 near	TRUE	burch	unusable interval	FALSE	1,1,1,1	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	15	4	1	MSE=0 near	TRUE	npbootstrap	unusable interval	FALSE	1,1,1,1	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	15	4	1	MSE=0 near	TRUE	bootstrap	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	TRUE	15	4	1	MSE=0 near	FALSE	montecarlo	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	15	4	1	MSE=0 near	FALSE	searle	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	15	4	1	MSE=0 near	FALSE	burch	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	15	4	1	MSE=0 near	FALSE	npbootstrap	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
