cell	rho	k	n	dist	method	n_rep	n_abort	coverage_uncond	coverage_nonabort	lo_miss	hi_miss	med_width	width_ratio_vs_mc
24	0.1	30	5	chisq1	burch	2000	0	0.9475	0.9475	0.0525	0	0.2824638948	0.8364385287
24	0.1	30	5	chisq1	mc	2000	254	0.791	0.9060710195	0.09392898053	0	0.3376983306	1
24	0.1	30	5	chisq1	npbootstrap	2000	0	0.9215	0.9215	0.035	0.0435	0.3244644486	0.9608115266
24	0.1	30	5	chisq1	searle	2000	0	0.893	0.893	0.063	0.044	0.2940814034	0.8708405603
25	0.1	50	5	gaussian	burch	2000	0	0.9595	0.9595	0.0165	0.024	0.2204427574	0.8813963463
25	0.1	50	5	gaussian	mc	2000	88	0.916	0.9581589958	0.04184100418	0	0.2501062754	1
25	0.1	50	5	gaussian	npbootstrap	2000	0	0.9415	0.9415	0.025	0.0335	0.2256941264	0.9023928968
25	0.1	50	5	gaussian	searle	2000	0	0.948	0.948	0.021	0.031	0.2258983929	0.9032096154
26	0.1	50	5	t5	burch	2000	0	0.9485	0.9485	0.026	0.0255	0.2190286784	0.872236953
26	0.1	50	5	t5	mc	2000	80	0.9075	0.9453125	0.0546875	0	0.2511114413	1
26	0.1	50	5	t5	npbootstrap	2000	0	0.945	0.945	0.0245	0.0305	0.2360920338	0.9401882789
26	0.1	50	5	t5	searle	2000	0	0.9345	0.9345	0.0345	0.031	0.224111597	0.8924786373
27	0.1	50	5	uniform	burch	2000	0	0.9625	0.9625	0.0175	0.02	0.2190409121	0.8722577837
27	0.1	50	5	uniform	mc	2000	62	0.927	0.9566563467	0.04334365325	0	0.2511194698	1
27	0.1	50	5	uniform	npbootstrap	2000	0	0.9375	0.9375	0.032	0.0305	0.2193501669	0.873489288
27	0.1	50	5	uniform	searle	2000	0	0.954	0.954	0.0235	0.0225	0.2242422788	0.8929705013
28	0.1	50	5	chisq1	burch	2000	0	0.926	0.926	0.04	0.034	0.2178966941	0.862836299
28	0.1	50	5	chisq1	mc	2000	118	0.8635	0.9176408077	0.08235919235	0	0.2525353817	1
28	0.1	50	5	chisq1	npbootstrap	2000	0	0.93	0.93	0.025	0.045	0.2519957536	0.9978631585
28	0.1	50	5	chisq1	searle	2000	0	0.899	0.899	0.053	0.048	0.2232843402	0.8841705219
29	0.1	10	2	gaussian	burch	2000	0	0.9645	0.9645	0.0355	0	1.057392283	1.210256036
29	0.1	10	2	gaussian	mc	2000	801	0.493	0.82235196	0.17764804	0	0.8736930466	1
29	0.1	10	2	gaussian	npbootstrap	2000	0	0.9235	0.9235	0.0515	0.025	1.231048994	1.409017731
29	0.1	10	2	gaussian	searle	2000	0	0.9505	0.9505	0.0265	0.023	1.13799443	1.302510572
30	0.1	10	2	t5	burch	2000	0	0.9595	0.9595	0.0405	0	1.05848437	1.219000343
30	0.1	10	2	t5	mc	2000	761	0.4815	0.7772397094	0.2227602906	0	0.8683216336	1
30	0.1	10	2	t5	npbootstrap	2000	0	0.921	0.921	0.054	0.025	1.207954469	1.391137134
30	0.1	10	2	t5	searle	2000	0	0.9435	0.9435	0.0295	0.027	1.13393959	1.305898121
31	0.1	10	2	uniform	burch	2000	0	0.9635	0.9635	0.0365	0	1.05785578	1.224098036
31	0.1	10	2	uniform	mc	2000	823	0.4685	0.7960917587	0.2039082413	0	0.8641920406	1
31	0.1	10	2	uniform	npbootstrap	2000	0	0.926	0.926	0.0495	0.0245	1.226017263	1.418686131
31	0.1	10	2	uniform	searle	2000	0	0.9505	0.9505	0.028	0.0215	1.135970858	1.314488916
32	0.1	10	2	chisq1	burch	2000	0	0.9675	0.9675	0.0325	0	1.055965079	1.216048918
32	0.1	10	2	chisq1	mc	2000	794	0.4805	0.7968490879	0.2031509121	0	0.8683574021	1
32	0.1	10	2	chisq1	npbootstrap	2000	0	0.9325	0.9325	0.044	0.0235	1.259194033	1.450087291
32	0.1	10	2	chisq1	searle	2000	0	0.949	0.949	0.027	0.024	1.134449998	1.306432115
33	0.3	10	5	gaussian	burch	2000	0	0.9325	0.9325	0.014	0.0535	0.5566479891	0.9770222451
33	0.3	10	5	gaussian	mc	2000	65	0.945	0.976744186	0.02325581395	0	0.5697393195	1
33	0.3	10	5	gaussian	npbootstrap	2000	0	0.9345	0.9345	0.0385	0.027	0.6531883874	1.146468859
33	0.3	10	5	gaussian	searle	2000	0	0.951	0.951	0.023	0.026	0.6000022529	1.053117158
34	0.3	10	5	t5	burch	2000	0	0.897	0.897	0.021	0.082	0.5503823722	0.9641225602
